street,latitude,longitude,lrt_stations,lrt_latitude,lrt_longitude,lrt_nearest_distance_m
BEDOK RESERVOIR ROAD,1.33742586450947,103.93252758902544,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,6152.041540758603
ELIAS ROAD,1.377447834407619,103.94160227719895,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,3402.126001061365
JURONG EAST AVENUE 1,1.3441907037770795,103.73336179099852,KEAT HONG LRT STATION (BP3),1.3786032506373,103.749055668925,4186.852880885149
WOODGROVE AVENUE,1.4309435202293417,103.78398122071216,SEGAR LRT STATION (BP11),1.38778508663361,103.769599685249,5033.467941502837
BEDOK RESERVOIR ROAD,1.3375203787385592,103.92782091968188,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,5872.115694693694
CORPORATION ROAD,1.3422675176744416,103.71627024786343,SOUTH VIEW LRT STATION (BP2),1.38029828742399,103.745291799824,5302.409678124656
TOH TUCK ROAD,1.3390465480815834,103.77158775335936,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,4101.2974731482245
TANAH MERAH KECHIL ROAD,1.3286349483860218,103.9446810515058,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,7729.652864717255
SENGKANG SQUARE,1.3888338896867671,103.8953149617317,SENGKANG LRT STATION (STC),1.39160936379906,103.895442583336,307.2264938505909
BRIGHT HILL DRIVE,1.3564519634235723,103.8306337259383,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,6417.864236045928
SIN MING WALK,1.3664480514304564,103.83096876868414,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,5776.802344649847
LORONG ONG LYE,1.3457737596001624,103.87906099439284,RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,4704.7996602957155
PINE GROVE,1.316695863892564,103.77599440397437,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,6593.636254697518
SIMEI RISE,1.3498379911226237,103.96078350381738,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,7004.4152311882
SIMEI STREET 3,1.341740410505735,103.95341462424445,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,7158.248250004824
EASTWOOD ROAD,1.3223592670805815,103.95474149981423,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,8975.129125617244
SERANGOON AVENUE 3,1.3507167401781064,103.86255478707136,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,4802.714122381436
BEDOK RESERVOIR VIEW,1.33740523107706,103.93570827628642,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,6354.825062693948
JALAN LOYANG BESAR,1.3800507957664512,103.96390014470428,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,5547.541432595168
HANDY ROAD,1.3001355033193769,103.84675039539806,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,10665.259629669721
HOLLAND ROAD,1.3199559113376302,103.78057523970698,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,6297.968118725444
CASHEW ROAD,1.3687939105744305,103.76566459767515,PETIR LRT STATION (BP7),1.37777204259082,103.766645782497,998.7439558204321
CORONATION ROAD,1.322807075254974,103.80220727694277,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,6828.853995551032
GEYLANG EAST AVENUE 1,1.3162349498515855,103.8844179813533,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,7652.209279492893
FERNVALE LINK,1.392534673439053,103.88056693152794,LAYAR LRT STATION (SW6),1.39207983659997,103.880029600546,78.13597595768877
CHESTNUT AVENUE,1.3704718374284994,103.777207678453,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,911.1411389409648
OCEAN DRIVE,1.2515038203247708,103.84802505268252,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,15663.5170667876
DELTA ROAD,1.291840342225601,103.82551253903812,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,11105.536487594296
WOODGROVE DRIVE,1.4292890269951026,103.7829695161197,SEGAR LRT STATION (BP11),1.38778508663361,103.769599685249,4824.462264171979
JALAN BUKIT HO SWEE,1.287058597655219,103.827787531999,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,11687.200665929518
BEATTY ROAD,1.3129169524829627,103.8590470682134,RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,8883.146985312585
KENG LEE ROAD,1.3140442567454114,103.8419229099357,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,9419.665685602198
PHENG GECK AVENUE,1.3318347854082508,103.86965527462225,RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,6500.002993036646
DUCHESS ROAD,1.3244395214678266,103.80765081861716,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,7005.477311828488
DRAYCOTT PARK,1.3113884126408737,103.83218202898564,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,9860.197380116682
NEWTON ROAD,1.314782335142337,103.84195839953192,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,9343.532864966497
LORONG 5 TOA PAYOH,1.3393382098846685,103.85122473635838,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,6446.245762250992
LEONIE HILL,1.2984736286048997,103.83270380040484,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,10977.334253781286
HILLVIEW RISE,1.364790399712292,103.76416893366392,BUKIT PANJANG LRT STATION (BP6),1.37792694616982,103.763102931112,1457.4099433854399
KEW CRESCENT,1.318585090885902,103.95006204738374,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,8977.544198116746
YISHUN CLOSE,1.4357593553250754,103.84435098976314,THANGGAM LRT STATION (SW4),1.39731815581938,103.875635154729,5494.415288841332
WOODLEIGH CLOSE,1.336408254548572,103.86975047480078,RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,6026.638096019967
HAZEL PARK TERRACE,1.3723880055314546,103.76468656992648,PETIR LRT STATION (BP7),1.37777204259082,103.766645782497,634.0105527939692
TREVOSE CRESCENT,1.3230217604229633,103.82529938578644,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,8405.913925660352
MOUNT SINAI LANE,1.3164462601101783,103.78531577001618,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,6782.964209408448
RIVER VALLEY ROAD,1.2947159593621331,103.84005116735494,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,11477.246246514665
PARI DEDAP WALK,1.3328959543851355,103.94242416252388,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,7203.784340859567
CARDIFF GROVE,1.3549624659864552,103.86579795842206,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,4247.060076145602
JALAN LOYANG BESAR,1.3787944880958811,103.95994700851578,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,5172.89743501558
CORPORATION ROAD,1.344777100802906,103.71700553481551,SOUTH VIEW LRT STATION (BP2),1.38029828742399,103.745291799824,5033.564112424813
WEST COAST RISE,1.3169015631943704,103.75363894063872,TECK WHYE LRT STATION (BP4),1.37668467920808,103.753712232337,6610.522896078261
JALAN LEMPENG,1.3186313361523327,103.76113716107004,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,6457.59743845934
RHU CROSS,1.2970862857661207,103.86689876398898,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,10209.117703310238
TANAH MERAH KECHIL ROAD,1.3270870992370192,103.94274908760974,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,7738.564717755754
TANJONG RHU ROAD,1.2967497419633405,103.8714050333416,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,10090.314978930788
SIMEI STREET 4,1.340706375178139,103.95623977164756,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,7435.95494455217
BISHAN STREET 15,1.3527606992939187,103.85096310756208,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,5164.554230692123
PINE GROVE,1.318459094486853,103.77663773696833,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,6405.600028671473
JURONG EAST STREET 32,1.3461154814996137,103.7335870372462,KEAT HONG LRT STATION (BP3),1.3786032506373,103.749055668925,3983.512518123303
ANG MO KIO AVENUE 9,1.3832182826434607,103.8392051042974,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,4238.913493571016
LORONG CHUAN,1.349887666730464,103.86045179462768,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,4967.9322259539995
BEDOK RESERVOIR VIEW,1.3374009394508386,103.93469854954996,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,6289.981486427687
UPPER CHANGI ROAD,1.331974032278363,103.94785362448764,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,7669.909865942127
JOO CHIAT LANE,1.3125604066689938,103.90179380577996,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,7895.056372282374
CACTUS DRIVE,1.388271460342446,103.85130834513689,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,2810.764884633933
HINDHEDE WALK,1.3477699500581866,103.7729257668009,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,3142.0124555735656
JURONG LAKE LINK,1.3455985411442866,103.724023040218,SOUTH VIEW LRT STATION (BP2),1.38029828742399,103.745291799824,4508.27395532897
JALAN PAKIS,1.3672418631199577,103.76983451431786,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,996.1743790277862
SUNRISE AVENUE,1.3899988628032345,103.85728849356832,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,2126.9517002760413
BEDOK RIA CRESCENT,1.3284732432004207,103.95135621616777,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,8218.17313700217
TANGLIN ROAD,1.29197417606614,103.81656975165204,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,10584.425714952624
JELLICOE ROAD,1.3082758122416234,103.86311741978174,RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,9196.158802165044
ROSEWOOD DRIVE,1.4289686900021694,103.7858014084585,SEGAR LRT STATION (BP11),1.38778508663361,103.769599685249,4897.826261042032
TONG WATT ROAD,1.2932047992230713,103.84020168175677,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,11628.024975213077
JALAN TIGA RATUS,1.3416455526711493,103.96084043872892,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,7674.427638368616
COVE DRIVE,1.2424409850962668,103.83675517458336,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,16482.50587108702
JALAN MEMBINA,1.2844885180023344,103.82789364006136,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,11933.920953949179
JALAN MERAH SAGA,1.311452162423209,103.7971283002158,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,7709.971223393423
JALAN KEMBANGAN,1.3200261026136886,103.91348728951152,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,7179.633155368144
TRANSIT ROAD,1.4042880284735155,103.81774894855144,FAJAR LRT STATION (BP10),1.38457317668026,103.770887223018,5652.382780686811
TANJONG RHU ROAD,1.2976912554151645,103.8758468866942,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,9859.914802509906
