target_price,area,floorRange,noOfUnits,typeOfSale,district,typeOfArea,street,project,marketSegment,contract_date_dt,days_since_1st_trans,age_bin,tenure_bin,latitude,longitude
750000,40.0,Floor 06-10,1,3,20,Strata,ANG MO KIO AVENUE 2,THE PANORAMA,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3755004316575845,103.83442218814929
860000,42.0,Floor 11-15,1,3,16,Strata,BEDOK SOUTH AVENUE 3,GRANDEUR PARK RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3248904018879364,103.94484144674203
2088000,105.0,Floor 06-10,1,3,20,Strata,ANG MO KIO AVENUE 2,THE PANORAMA,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3755004316575845,103.83442218814929
1048000,52.0,Floor 06-10,1,3,16,Strata,BEDOK SOUTH AVENUE 3,GRANDEUR PARK RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3248904018879364,103.94484144674203
1160000,65.0,Floor 06-10,1,3,20,Strata,ANG MO KIO AVENUE 2,THE PANORAMA,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3755004316575845,103.83442218814929
970000,76.0,Floor 06-10,1,3,17,Strata,FLORA DRIVE,THE INFLORA,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.356269562756838,103.96626075556748
1118000,94.0,Floor 01-05,1,3,16,Strata,EASTWOOD ROAD,EASTWOOD GREEN,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3223592670805817,103.95474149981423
1220000,73.0,Floor 06-10,1,3,5,Strata,WEST COAST CRESCENT,SEAHILL,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.2989145936878803,103.76445303124956
615000,43.0,Floor 06-10,1,3,17,Strata,FLORA DRIVE,THE INFLORA,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.356269562756838,103.96626075556748
3000000,148.0,Floor 01-05,1,3,10,Strata,FARRER DRIVE,POLLEN & BLEU,CCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3144136137531481,103.80716648587823
1275000,117.0,Floor 06-10,1,3,18,Strata,SIMEI RISE,CHANGI RISE CONDOMINIUM,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.34861038545995,103.96056372190351
1510000,139.0,Floor 01-05,1,3,18,Strata,SIMEI RISE,CHANGI RISE CONDOMINIUM,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.34861038545995,103.96056372190351
1050000,55.0,Floor 01-05,1,3,10,Strata,LEEDON HEIGHTS,D'LEEDON,CCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3162805968110476,103.80451979423779
1700000,135.0,Floor 06-10,1,3,18,Strata,PASIR RIS GROVE,NV RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3717875550656364,103.94343399779615
1495000,108.0,Floor 06-10,1,3,18,Strata,TAMPINES STREET 86,Q BAY RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3512844009932277,103.92717471706622
1340000,124.0,Floor 01-05,1,3,27,Strata,MILTONIA CLOSE,SKIES MILTONIA,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.4183506626151359,103.84727447481382
1235000,117.0,Floor 06-10,1,3,18,Strata,SIMEI RISE,CHANGI RISE CONDOMINIUM,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.34861038545995,103.96056372190351
1250000,96.0,Floor 01-05,1,3,18,Strata,TAMPINES STREET 86,Q BAY RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3512844009932277,103.92717471706622
1600000,98.0,Floor 16-20,1,3,4,Strata,DEPOT ROAD,THE INTERLACE,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.282201354238727,103.803023755865
1110000,105.0,Floor 06-10,1,3,18,Strata,SIMEI RISE,CHANGI RISE CONDOMINIUM,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.34861038545995,103.96056372190351
1490000,108.0,Floor 06-10,1,3,18,Strata,TAMPINES STREET 86,Q BAY RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3512844009932277,103.92717471706622
2450000,168.0,Floor 06-10,1,3,4,Strata,DEPOT ROAD,THE INTERLACE,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.282201354238727,103.803023755865
680000,49.0,Floor 01-05,1,3,18,Strata,TAMPINES STREET 86,Q BAY RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3512844009932277,103.92717471706622
1220000,71.0,Floor 11-15,1,3,22,Strata,JURONG LAKE LINK,LAKEVILLE,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3451369788131922,103.72597121361072
980000,72.0,Floor 01-05,1,3,19,Strata,TERRASSE LANE,TERRASSE,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.368448340691386,103.87706607453097
1280000,117.0,Floor 26-30,1,3,23,Strata,BUKIT BATOK STREET 52,GUILIN VIEW,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3548763119837628,103.7531380430425
1250000,72.0,Floor 06-10,1,3,22,Strata,JURONG LAKE LINK,LAKE GRANDE,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3455985411442866,103.72402304021799
1180888,59.0,Floor 16-20,1,3,10,Strata,LEEDON HEIGHTS,D'LEEDON,CCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3162805968110476,103.80451979423779
1730000,158.0,Floor 21-25,1,3,23,Strata,BUKIT BATOK STREET 52,GUILIN VIEW,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3548763119837628,103.7531380430425
1682000,88.0,Floor 21-25,1,2,12,Strata,LORONG 5 TOA PAYOH,GEM RESIDENCES,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3393382098846685,103.85122473635838
1330000,92.0,Floor 01-05,1,3,19,Strata,TERRASSE LANE,TERRASSE,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.368448340691386,103.87706607453097
1887000,136.0,Floor 06-10,1,3,19,Strata,UPPER SERANGOON VIEW,BOATHOUSE RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3760117099323512,103.90242737356935
860000,47.0,Floor 06-10,1,2,13,Strata,POTONG PASIR AVENUE 1,THE TRE VER,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3364923386851888,103.86562886475465
1280000,83.0,Floor 06-10,1,3,16,Strata,BEDOK SOUTH AVENUE 3,ECO,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3235305762721719,103.94557371844779
1815000,107.0,Floor 01-05,1,3,10,Strata,LEEDON HEIGHTS,D'LEEDON,CCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3162805968110476,103.80451979423779
1075000,63.0,Floor 01-05,1,2,18,Strata,TAMPINES LANE,TREASURE AT TAMPINES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3450856145544043,103.94795095439748
1380000,65.0,Floor 01-05,1,3,9,Strata,MOUNT SOPHIA,SOPHIA HILLS,CCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3005048366887535,103.84769412298189
1720000,96.0,Floor 11-15,1,3,10,Strata,HOLLAND ROAD,ALLSWORTH PARK,CCR,2022-10-01,153,"(138.9, 158.6]",999 yrs,1.3199559113376302,103.78057523970698
1870000,100.0,Floor 41-45,1,3,3,Strata,ALEXANDRA VIEW,THE METROPOLITAN CONDOMINIUM,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.2904773421945972,103.81601645093934
1550000,114.0,Floor 01-05,1,3,15,Strata,JOO CHIAT LANE,LEGENDA AT JOO CHIAT,RCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3125604066689938,103.90179380577997
692000,42.0,Floor 01-05,1,2,17,Strata,FLORA DRIVE,THE JOVELL,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3577415743024621,103.9662137012406
888000,91.0,Floor 06-10,1,3,27,Strata,YISHUN STREET 81,ORCHID PARK CONDOMINIUM,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.4132161422396983,103.83484157476137
756000,83.0,Floor 06-10,1,3,27,Strata,YISHUN STREET 81,ORCHID PARK CONDOMINIUM,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.4132161422396983,103.83484157476137
2450000,143.0,Floor 06-10,1,3,4,Strata,KEPPEL BAY VIEW,REFLECTIONS AT KEPPEL BAY,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.2671449928930936,103.81100230063198
2000000,121.0,Floor 16-20,1,3,5,Strata,WEST COAST CRESCENT,THE VISION,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.2983155629093148,103.76492826974369
1580000,114.0,Floor 01-05,1,3,28,Strata,SELETAR ROAD,THE GREENWICH,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3868247562755682,103.86911221532166
1440000,131.0,Floor 01-05,1,3,18,Strata,SIMEI STREET 4,MODENA,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3426389926426885,103.95460975038293
1600000,94.0,Floor 01-05,1,2,18,Strata,TAMPINES LANE,TREASURE AT TAMPINES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3450856145544043,103.94795095439748
1485000,135.0,Floor 01-05,1,3,18,Strata,SIMEI STREET 4,MODENA,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3426389926426885,103.95460975038293
780000,81.0,Floor 06-10,1,3,27,Strata,YISHUN STREET 81,ORCHID PARK CONDOMINIUM,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.4132161422396983,103.83484157476137
775000,44.0,Floor 11-15,1,3,18,Strata,TAMPINES STREET 86,THE TAPESTRY,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3539046355161575,103.92860647866085
850000,80.0,Floor 11-15,1,3,23,Strata,BUKIT BATOK STREET 52,GUILIN VIEW,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3548763119837628,103.7531380430425
1800000,158.0,Floor 26-30,1,3,23,Strata,BUKIT BATOK STREET 52,GUILIN VIEW,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3548763119837628,103.7531380430425
1188000,67.0,Floor 11-15,1,3,13,Strata,MOUNT VERNON ROAD,BARTLEY RIDGE,RCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3410912750446702,103.88145756437615
3610100,156.0,Floor 06-10,1,3,4,Strata,COVE WAY,CAPE ROYALE,CCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.2407659898460264,103.83964048507681
1050000,108.0,Floor 01-05,1,3,23,Strata,BUKIT BATOK EAST AVENUE 5,REGENT HEIGHTS,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3530806827203885,103.75614580918894
1100000,87.0,Floor 06-10,1,3,18,Strata,SIMEI STREET 4,DOUBLE BAY RESIDENCES,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.340706375178139,103.95623977164756
