place_id,name,business_status,geometry,price_level,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng
ChIJp6PIaBIZ2jERoVG-DVIb8Dk,Julia & Yee Flower shop,OPERATIONAL,"{'location': {'lat': 1.2787633, 'lng': 103.8486037}, 'viewport': {'northeast': {'lat': 1.280073180291502, 'lng': 103.8500161302915}, 'southwest': {'lat': 1.277375219708498, 'lng': 103.8473181697085}}}",,2.0,4.5,"['shopping_mall', 'point_of_interest', 'establishment']","罗敏申路, #138 Oxley Tower",,1.2787633,103.8486037
ChIJddB_G30Z2jERTtNZy8DQEI0,OUE Downtown 2,OPERATIONAL,"{'location': {'lat': 1.2783399, 'lng': 103.8491324}, 'viewport': {'northeast': {'lat': 1.2792787, 'lng': 103.8501256}, 'southwest': {'lat': 1.2759099, 'lng': 103.8473804}}}",,391.0,4.4,"['shopping_mall', 'point_of_interest', 'establishment']","6 Shenton Way, Singapore",,1.2783399,103.8491324
ChIJkdUStooX2jER6qKW0ePeqd4,Vietnam Chamber of Commerce,OPERATIONAL,"{'location': {'lat': 1.2792463, 'lng': 103.8541121}, 'viewport': {'northeast': {'lat': 1.280804680291502, 'lng': 103.8552076802915}, 'southwest': {'lat': 1.278106719708498, 'lng': 103.8525097197085}}}",,5.0,5.0,"['shopping_mall', 'finance', 'local_government_office', 'point_of_interest', 'establishment']","10 Marina Boulevard, Tower 2, Level 39 Marina Bay Financial Centre, Singapore",,1.2792463,103.8541121
ChIJdzLGapkZ2jER2QHg4c3yk_E,Marina One - The Heart,OPERATIONAL,"{'location': {'lat': 1.2775677, 'lng': 103.8524901}, 'viewport': {'northeast': {'lat': 1.278768280291502, 'lng': 103.8536040302915}, 'southwest': {'lat': 1.276070319708498, 'lng': 103.8509060697085}}}",,16.0,4.1,"['shopping_mall', 'point_of_interest', 'establishment']","5 Straits View, #01-28 The Heart, Marina One Show Gallery, Singapore",,1.2775677,103.8524901
ChIJ21Df72gZ2jERUSOfvov3SFk,OUE Downtown 1,OPERATIONAL,"{'location': {'lat': 1.2773786, 'lng': 103.8486667}, 'viewport': {'northeast': {'lat': 1.278696330291502, 'lng': 103.8500521302915}, 'southwest': {'lat': 1.275998369708498, 'lng': 103.8473541697085}}}",,1.0,5.0,"['shopping_mall', 'point_of_interest', 'establishment']","6a Shenton Way, Singapore",,1.2773786,103.8486667
ChIJ1RbNoxMZ2jERdcsK4hU9CIc,Downtown Gallery,OPERATIONAL,"{'location': {'lat': 1.2771334, 'lng': 103.8485073}, 'viewport': {'northeast': {'lat': 1.278277830291502, 'lng': 103.8497068802915}, 'southwest': {'lat': 1.275579869708498, 'lng': 103.8470089197085}}}",,29.0,4.4,"['shopping_mall', 'point_of_interest', 'establishment']",6A Shenton Way,,1.2771334,103.8485073
ChIJddB_G30Z2jERTtNZy8DQEI0,OUE Downtown 2,OPERATIONAL,"{'location': {'lat': 1.2783399, 'lng': 103.8491324}, 'viewport': {'northeast': {'lat': 1.2792787, 'lng': 103.8501256}, 'southwest': {'lat': 1.2759099, 'lng': 103.8473804}}}",,391.0,4.4,"['shopping_mall', 'point_of_interest', 'establishment']","6 Shenton Way, Singapore",,1.2783399,103.8491324
ChIJJeFJzWsZ2jERRYJT25O5jCY,Licete Global,CLOSED_TEMPORARILY,"{'location': {'lat': 1.2792463, 'lng': 103.8541121}, 'viewport': {'northeast': {'lat': 1.280826580291502, 'lng': 103.8551575802915}, 'southwest': {'lat': 1.278128619708498, 'lng': 103.8524596197085}}}",,,,"['shopping_mall', 'point_of_interest', 'establishment']","10 Marina Boulevard, Singapore",True,1.2792463,103.8541121
ChIJG_m6Rw4Z2jERSePN1VWubwA,Toast Box (Marina Bay Link Mall),OPERATIONAL,"{'location': {'lat': 1.2797807, 'lng': 103.853046}, 'viewport': {'northeast': {'lat': 1.281022330291502, 'lng': 103.8545647802915}, 'southwest': {'lat': 1.278324369708498, 'lng': 103.8518668197085}}}",1.0,495.0,4.2,"['shopping_mall', 'cafe', 'store', 'point_of_interest', 'food', 'establishment']","Blk 8A Marina Boulevard, B2-04A",,1.2797807,103.853046
ChIJHXaCig4Z2jER6U4Qy8aX7Co,Marina Bay Link Mall,OPERATIONAL,"{'location': {'lat': 1.2795303, 'lng': 103.8543391}, 'viewport': {'northeast': {'lat': 1.280788980291502, 'lng': 103.85577375}, 'southwest': {'lat': 1.278091019708498, 'lng': 103.85305395}}}",,3679.0,4.3,"['shopping_mall', 'point_of_interest', 'establishment']",8A Marina Boulevard,,1.2795303,103.8543391
