place_id,name,business_status,geometry,price_level,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng
ChIJdyfCSmsU2jERv0Aci7jRfLc,Smiling Star Speedy Chinese Character Recognition - Yishun Avenue 4,OPERATIONAL,"{'location': {'lat': 1.420418, 'lng': 103.840352}, 'viewport': {'northeast': {'lat': 1.421654730291502, 'lng': 103.8415337802915}, 'southwest': {'lat': 1.418956769708498, 'lng': 103.8388358197085}}}",,,,"['school', 'point_of_interest', 'establishment']","662 Yishun Avenue 4, Block 662 Block 662",,1.420418,103.840352
ChIJy7CbHW8U2jERJCaVEbkiAAs,Small Wonder Yishun Central (formerly Eager Beaver Preschool),OPERATIONAL,"{'location': {'lat': 1.427463, 'lng': 103.837055}, 'viewport': {'northeast': {'lat': 1.429161030291502, 'lng': 103.8383955802915}, 'southwest': {'lat': 1.426463069708498, 'lng': 103.8356976197085}}}",,4.0,3.0,"['school', 'point_of_interest', 'establishment']","925 Yishun Central 1, #05-227",,1.427463,103.837055
ChIJAQAASBMU2jERzTRlCw1dz-Y,Rainbow Centre Yishun Park School,OPERATIONAL,"{'location': {'lat': 1.4201583, 'lng': 103.8378024}, 'viewport': {'northeast': {'lat': 1.421454080291502, 'lng': 103.8391056802915}, 'southwest': {'lat': 1.418756119708498, 'lng': 103.8364077197085}}}",,17.0,3.8,"['school', 'point_of_interest', 'establishment']",15 Yishun Street 61,,1.4201583,103.8378024
ChIJW75052sU2jERcI10P5uyQA0,NurtureStars @ SAFRA Yishun,OPERATIONAL,"{'location': {'lat': 1.4238117, 'lng': 103.8406968}, 'viewport': {'northeast': {'lat': 1.425157780291502, 'lng': 103.8420400302915}, 'southwest': {'lat': 1.422459819708498, 'lng': 103.8393420697085}}}",,7.0,3.6,"['school', 'point_of_interest', 'establishment']","60 Yishun Avenue 4, #4",,1.4238117,103.8406968
ChIJZaWBamkU2jERLpJ2ofrBaNc,Little Skool-House Yishun Community Hospital,OPERATIONAL,"{'location': {'lat': 1.4233146, 'lng': 103.8371523}, 'viewport': {'northeast': {'lat': 1.424743580291502, 'lng': 103.8384874802915}, 'southwest': {'lat': 1.422045619708498, 'lng': 103.8357895197085}}}",,1.0,1.0,"['school', 'point_of_interest', 'establishment']","Yishun Community Hospital, 2 Yishun Central 2, Tower E, Level 5 Staff Lounge",,1.4233146,103.8371523
ChIJI3FEiksV2jER95WDMUdKwc8,PCF Sparkletots @ Nee Soon Central Blk 646,OPERATIONAL,"{'location': {'lat': 1.4221191, 'lng': 103.8376274}, 'viewport': {'northeast': {'lat': 1.423542180291502, 'lng': 103.8389494802915}, 'southwest': {'lat': 1.420844219708498, 'lng': 103.8362515197085}}}",,,,"['school', 'point_of_interest', 'establishment']","Blk 646 Yishun Street 61, #01-354",,1.4221191,103.8376274
ChIJbWoWjWsU2jER8VX70eGeV6k,Minds Yishun Training & Development Centre,OPERATIONAL,"{'location': {'lat': 1.4237633, 'lng': 103.8401485}, 'viewport': {'northeast': {'lat': 1.425175430291502, 'lng': 103.8415814802915}, 'southwest': {'lat': 1.422477469708498, 'lng': 103.8388835197085}}}",,3.0,5.0,"['school', 'point_of_interest', 'establishment']","Blk 652 Yishun Avenue 4, #01-507, Singapore",,1.4237633,103.8401485
ChIJkx2nkmwU2jERAZ-dLxXzqxQ,Infant Care in Singapore,OPERATIONAL,"{'location': {'lat': 1.4205827, 'lng': 103.8377255}, 'viewport': {'northeast': {'lat': 1.421918680291502, 'lng': 103.8390517802915}, 'southwest': {'lat': 1.419220719708498, 'lng': 103.8363538197085}}}",,,,"['school', 'point_of_interest', 'establishment']","Yishun Street 61, Singapore",,1.4205827,103.8377255
ChIJ__8_OGsU2jERSMe6xgRjhoE,Northland Primary Alumni Association (NPAA),OPERATIONAL,"{'location': {'lat': 1.4211637, 'lng': 103.8402501}, 'viewport': {'northeast': {'lat': 1.422804330291502, 'lng': 103.8416549802915}, 'southwest': {'lat': 1.420106369708498, 'lng': 103.8389570197085}}}",,,,"['school', 'point_of_interest', 'establishment']","15 Yishun Avenue 4, #4, Singapore",,1.4211637,103.8402501
ChIJW75052sU2jERY4MjFV_GxV8,Eager Beaver Group Pte Ltd,OPERATIONAL,"{'location': {'lat': 1.4242354, 'lng': 103.8409184}, 'viewport': {'northeast': {'lat': 1.425446980291502, 'lng': 103.8420948802915}, 'southwest': {'lat': 1.422749019708498, 'lng': 103.8393969197085}}}",,,,"['school', 'point_of_interest', 'establishment']","60 Yishun Avenue 4, Safra, Singapore",,1.4242354,103.8409184
ChIJZb4szRIU2jER0OdUC2tJRoU,My First Skool at Blk 612 Yishun,OPERATIONAL,"{'location': {'lat': 1.420378, 'lng': 103.835239}, 'viewport': {'northeast': {'lat': 1.421648380291502, 'lng': 103.8365652802915}, 'southwest': {'lat': 1.418950419708498, 'lng': 103.8338673197085}}}",,17.0,4.2,"['school', 'point_of_interest', 'establishment']","Blk 612 Yishun Street 61, #01-193",,1.420378,103.835239
ChIJ8Vw0km0U2jERZeftkllCsCA,Lifesaving Course .com | Lifeguard training School,OPERATIONAL,"{'location': {'lat': 1.4236772, 'lng': 103.8341114}, 'viewport': {'northeast': {'lat': 1.424838480291502, 'lng': 103.8351006302915}, 'southwest': {'lat': 1.422140519708498, 'lng': 103.8324026697085}}}",,8.0,5.0,"['school', 'point_of_interest', 'establishment']","351 Yishun Avenue 3, Singapore",,1.4236772,103.8341114
ChIJTeVIOYkX2jERRLmCbJxWxoc,SWIM2000,OPERATIONAL,"{'location': {'lat': 1.4237634, 'lng': 103.834125}, 'viewport': {'northeast': {'lat': 1.424881580291502, 'lng': 103.8351074302915}, 'southwest': {'lat': 1.422183619708498, 'lng': 103.8324094697085}}}",,19.0,5.0,"['school', 'health', 'point_of_interest', 'establishment']","351 Yishun Avenue 3, YISHUN Yishun, Swimming Complex, Singapore",,1.4237634,103.834125
